Issue ID,Issue Type,Summary,Description,Priority,Status,Parent ID,Assignee,Assignee Role,Labels,Story Points,Original Estimate,Start Date,Due Date,Acceptance Criteria,Sprint
1001,Epic,Epic: Requirements Analysis,"Requirements gathering, stakeholder interviews, functional specification, and acceptance criteria definition for the online bookstore system.",Highest,Done,,????,Product Owner,"requirements,analysis",,40h,2026-03-01,2026-03-10,????????????????,Sprint 0
1002,Epic,Epic: Book Management,"Book entity CRUD operations, search, filtering, pagination, ISBN validation, and inventory management APIs.",Highest,Done,,????1,Developer,"book,backend",,60h,2026-03-11,2026-04-07,??CRUD??????????????,Sprint 1-2
1003,Epic,Epic: Shopping Cart,"Shopping cart functionality including add/remove items, quantity update, price snapshot, and cart persistence.",High,Done,,????2,Developer,"cart,backend",,40h,2026-04-08,2026-04-28,??????????????,Sprint 2
1004,Epic,Epic: Order Management,"Order creation from cart, stock deduction, order status workflow, cancellation with stock restoration.",Highest,Done,,????2,Developer,"order,backend",,50h,2026-04-29,2026-05-26,??????????????????,Sprint 3
1005,Epic,Epic: Testing & Quality,"JMeter performance testing (nocache vs Redis), CI/CD pipeline setup, code quality checks, and deployment verification.",High,Doing,,????,QA Engineer,"test,quality,devops",,50h,2026-05-27,2026-06-23,????????????CI/CD???,Sprint 3-4
1006,Story,User Story: Requirements Analysis - Design & Planning,"Part of REQ Epic. Requirements gathering, stakeholder interviews, functional specification, and acceptance criteria definition for the online bookstore system.",High,Done,1001,????,Product Owner,"requirements,docs",5,16h,2026-03-01,2026-03-06,"1.SRS??IEEE 830
2.??4???
3.???????",Sprint 0
1007,Story,User Story: Requirements Analysis - Implementation & Validation,"Part of REQ Epic. Requirements gathering, stakeholder interviews, functional specification, and acceptance criteria definition for the online bookstore system.",High,Done,1001,????,Product Owner,"requirements,personas",3,8h,2026-03-07,2026-03-10,"1.??2?????
2.????10??
3.??????",Sprint 0
1008,Story,User Story: Book Management - Design & Planning,"Part of BOOK Epic. Book entity CRUD operations, search, filtering, pagination, ISBN validation, and inventory management APIs.",Highest,Done,1002,????1,Developer,"book,crud",8,24h,2026-03-11,2026-03-24,"1.CRUD API??
2.ISBN?????
3.??????
4.????",Sprint 1
1009,Story,User Story: Book Management - Implementation & Validation,"Part of BOOK Epic. Book entity CRUD operations, search, filtering, pagination, ISBN validation, and inventory management APIs.",High,Done,1002,????1,Developer,"book,search",5,16h,2026-03-25,2026-04-07,"1.??????
2.????
3.????
4.????",Sprint 1-2
1010,Story,User Story: Shopping Cart - Design & Planning,"Part of CART Epic. Shopping cart functionality including add/remove items, quantity update, price snapshot, and cart persistence.",High,Done,1003,????2,Developer,"cart,add",5,16h,2026-04-08,2026-04-17,"1.????
2.??????
3.????
4.????",Sprint 2
