Issue Type,Issue Key,Summary,Description,Priority,Status,Epic Link,Parent,Assignee,Assignee Role,Labels,Story Points,Original Estimate,Start Date,Due Date,Acceptance Criteria,Sprint
Epic,EPIC-REQ,???????,???????????????????????????????????,Highest,Done,,,????,Product Owner,"requirements,analysis",,40h,2026-03-01,2026-03-10,????????????????,Sprint 0
Epic,EPIC-BOOK,??????,????????????????????????,Highest,Done,,,????1,Developer,"book,backend",,60h,2026-03-11,2026-04-07,??CRUD??????????????,Sprint 1-2
Epic,EPIC-CART,?????,???????????????????????,High,Done,,,????2,Developer,"cart,backend",,40h,2026-04-08,2026-04-28,??????????????,Sprint 2
Epic,EPIC-ORDER,??????,??????????????????????????,Highest,Done,,,????2,Developer,"order,backend",,50h,2026-04-29,2026-05-26,??????????????????,Sprint 3
Epic,EPIC-TEST,???????,??????????JMeter?????CI/CD???????,High,In Progress,,,????,QA Engineer,"test,quality,devops",,50h,2026-05-27,2026-06-23,????????????CI/CD???,Sprint 3-4
Story,STORY-REQ-01,??PM?????????????????,??IEEE 830???????????????,High,Done,EPIC-REQ,,????,Product Owner,"requirements,docs",5,16h,2026-03-01,2026-03-06,"1.SRS??IEEE 830
2.??4???
3.???????",Sprint 0
Story,STORY-REQ-02,??PM?????????????????,??2??????????10????????,High,Done,EPIC-REQ,,????,Product Owner,"requirements,personas",3,8h,2026-03-07,2026-03-10,"1.??2?????
2.????10??
3.??????",Sprint 0
Story,STORY-BOOK-01,??????????????????,?????????????????ISBN?????,Highest,Done,EPIC-BOOK,,????1,Developer,"book,crud",8,24h,2026-03-11,2026-03-24,"1.CRUD API??
2.ISBN?????
3.??????
4.????",Sprint 1
Story,STORY-BOOK-02,?????????????????????,???????????????????,High,Done,EPIC-BOOK,,????1,Developer,"book,search",5,16h,2026-03-25,2026-04-07,"1.??????
2.????
3.????
4.????",Sprint 1-2
Story,STORY-CART-01,????????????????,????????????????????,High,Done,EPIC-CART,,????2,Developer,"cart,add",5,16h,2026-04-08,2026-04-17,"1.????
2.??????
3.????
4.????",Sprint 2
Story,STORY-CART-02,?????????????????,?????????????????,High,Done,EPIC-CART,,????2,Developer,"cart,manage",5,12h,2026-04-18,2026-04-28,"1.????
2.????
3.?????
4.????",Sprint 2
Story,STORY-ORDER-01,????????????????,????????????????????????,Highest,Done,EPIC-ORDER,,????2,Developer,"order,create",8,20h,2026-04-29,2026-05-12,"1.????????
2.????
3.?????
4.?????",Sprint 3
Story,STORY-ORDER-02,???????????????,?????????????????????????,High,Done,EPIC-ORDER,,????2,Developer,"order,manage",5,16h,2026-05-13,2026-05-26,"1.????
2.????
3.????
4.????
5.????",Sprint 3
